%D;pD;%X;pX;pc;pt
5;25;55;95;55.33582089552239;1215.733830845771
5;25;65;5;53.708955223880594;720.3706467661691
5;25;65;15;53.33582089552239;473.96019900497515
5;25;65;25;52.03482587064676;463.15671641791045
5;25;65;35;53.08955223880597;673.3233830845771
5;25;65;45;53.40298507462686;935.4303482587064
5;25;65;55;51.482587064676615;311.0820895522388
5;25;65;65;56.223880597014926;356.57462686567163
5;25;65;75;52.333333333333336;626.5895522388059
5;25;65;85;53.54726368159204;630.276119402985
5;25;65;95;55.24626865671642;1489.1169154228855
5;25;75;5;52.45771144278607;413.67910447761193
5;25;75;15;52.440298507462686;516.9875621890548
5;25;75;25;53.7636815920398;587.2810945273632
5;25;75;35;52.31592039800995;414.7910447761194
5;25;75;45;54.03482587064676;440.3134328358209
5;25;75;55;54.69900497512438;1146.7587064676618
5;25;75;65;54.614427860696516;805.3358208955224
5;25;75;75;56.78109452736319;672.639303482587
5;25;75;85;54.09701492537314;852.8880597014926
5;25;75;95;53.44278606965174;677.9427860696518
5;25;85;5;51.82835820895522;402.87810945273634
5;25;85;15;54.42786069651741;1174.5945273631842
5;25;85;25;51.569651741293534;863.7910447761194
5;25;85;35;54.09452736318408;453.2686567164179
5;25;85;45;52.60945273631841;491.18905472636817
5;25;85;55;54.06467661691542;942.6293532338309
5;25;85;65;54.02985074626866;1205.2164179104477
5;25;85;75;53.40049751243781;403.73880597014926
5;25;85;85;56.24875621890547;1445.2388059701493
5;25;85;95;53.89303482587065;1452.5870646766168
5;25;95;5;54.25373134328358;700.5597014925373
5;25;95;15;53.624378109452735;1062.5597014925372
5;25;95;25;53.82587064676617;848.2189054726368
5;25;95;35;54.47014925373134;1156.226368159204
5;25;95;45;54.72885572139303;486.2412935323383
5;25;95;55;53.149253731343286;603.3333333333334
5;25;95;65;52.004975124378106;648.3855721393035
5;25;95;75;52.88308457711443;1439.1517412935323
5;25;95;85;52.84825870646766;569.1218905472637
5;25;95;95;47.41044776119403;483.14179104477614
5;35;5;5;52.80597014925373;510.3606965174129
5;35;5;15;53.582089552238806;791.4303482587064
5;35;5;25;54.57462686567164;996.3507462686567
5;35;5;35;55.34825870646766;680.6567164179105
5;35;5;45;52.19651741293532;387.4303482587065
5;35;5;55;50.77363184079602;1046.4278606965174
5;35;5;65;53.440298507462686;323.3905472636816
5;35;5;75;55.07960199004975;870.5398009950248
5;35;5;85;53.18905472636816;460.95522388059703
5;35;5;95;52.8955223880597;723.6467661691543
5;35;15;5;53.00248756218905;868.3507462686567
5;35;15;15;58.59701492537314;2069.907960199005
5;35;15;25;52.291044776119406;490.56467661691545
5;35;15;35;51.656716417910445;946.0597014925373
5;35;15;45;52.65422885572139;693.9004975124378
5;35;15;55;54.375621890547265;1287.2835820895523
5;35;15;65;49.166666666666664;1133.9850746268658
5;35;15;75;51.830845771144276;1195.3880597014925
5;35;15;85;54.04726368159204;881.8855721393035
5;35;15;95;52.67661691542288;1079.9825870646766
5;35;25;5;53.843283582089555;966.6890547263681
5;35;25;15;48.95771144278607;734.0721393034826
5;35;25;25;53.54228855721393;702.363184079602
5;35;25;35;54.843283582089555;763.6044776119403
5;35;25;45;47.475124378109456;871.6691542288557
5;35;25;55;54.58706467661692;579.1044776119403
5;35;25;65;50.62189054726368;386.33084577114425
5;35;25;75;55.68905472636816;727.4875621890548
5;35;25;85;56.03482587064676;829.2338308457712
5;35;25;95;54.44776119402985;1547.0696517412935
5;35;35;5;52.6044776119403;835.4676616915423
5;35;35;15;54.524875621890544;659.2512437810946
5;35;35;25;55.35572139303483;909.8880597014926
5;35;35;35;52.61691542288557;829.9402985074627
5;35;35;45;54.19651741293532;558.4601990049752
5;35;35;55;53.27114427860697;719.2860696517413
5;35;35;65;54.09701492537314;567.1467661691543
5;35;35;75;53.00248756218905;547.0323383084577
5;35;35;85;53.30099502487562;515.7189054726368
5;35;35;95;54.42537313432836;1215.7412935323382
5;35;45;5;52.6318407960199;913.2139303482587
5;35;45;15;54.124378109452735;839.5248756218906
5;35;45;25;53.29353233830846;412.88557213930346
5;35;45;35;51.97761194029851;475.28109452736317
5;35;45;45;54.23880597014925;1108.4875621890546
5;35;45;55;58.8681592039801;1212.4975124378109
5;35;45;65;54.64179104477612;496.6094527363184
5;35;45;75;52.33582089552239;739.4950248756219
5;35;45;85;53.975124378109456;806.4179104477612
5;35;45;95;52.61691542288557;1021.5671641791045
5;35;55;5;53.84825870646766;678.6069651741293
5;35;55;15;53.44278606965174;1093.1393034825871
5;35;55;25;53.51243781094527;1676.2064676616915
5;35;55;35;52.74129353233831;898.6890547263681
5;35;55;45;50.8955223880597;1014.2139303482587
5;35;55;55;53.06467661691542;542.8706467661691
5;35;55;65;53.71890547263681;1488.3930348258707
5;35;55;75;54.63930348258707;1377.5995024875622
5;35;55;85;52.318407960199;774.4825870646766
5;35;55;95;52.42039800995025;674.2636815920398
5;35;65;5;47.32587064676617;755.9601990049752
5;35;65;15;51.985074626865675;620.4701492537314
5;35;65;25;53.149253731343286;409.39800995024876
5;35;65;35;55.93532338308458;401.03980099502485
5;35;65;45;53.53482587064676;498.89303482587064
5;35;65;55;55.59950248756219;1611.813432835821
5;35;65;65;51.97014925373134;986.5
5;35;65;75;55.85572139303483;954.5845771144278
5;35;65;85;55.24129353233831;1828.9850746268658
5;35;65;95;51.84825870646766;594.4328358208955
5;35;75;5;55.34825870646766;1847.2935323383085
5;35;75;15;55.10945273631841;705.5049751243781
5;35;75;25;52.98009950248756;693.8905472636816
5;35;75;35;52.756218905472636;386.59203980099505
5;35;75;45;51.75373134328358;714.5995024875622
5;35;75;55;53.22885572139303;1145.8333333333333
5;35;75;65;56.569651741293534;1520.9651741293533
5;35;75;75;56.166666666666664;443.27363184079604
5;35;75;85;55.32587064676617;505.88557213930346
5;35;75;95;61.191542288557216;1466.7910447761194
5;35;85;5;53.2636815920398;781.8582089552239
5;35;85;15;48.16417910447761;603.0746268656717
5;35;85;25;51.08955223880597;600.7537313432836
5;35;85;35;53.51990049751244;755.5572139303482
5;35;85;45;52.124378109452735;742.5721393034826
5;35;85;55;52.49751243781095;689.7437810945273
5;35;85;65;58.166666666666664;2284.9751243781093
5;35;85;75;53.850746268656714;621.8383084577115
5;35;85;85;54.03482587064676;1290.5099502487562
5;35;85;95;51.15174129353234;660.3855721393035
5;35;95;5;53.907960199004975;550.2562189054727
5;35;95;15;50.723880597014926;485.71144278606965
5;35;95;25;53.30348258706468;545.1069651741293
5;35;95;35;50.82089552238806;790.8656716417911
5;35;95;45;54.97014925373134;533.0373134328358
5;35;95;55;53.004975124378106;329.2039800995025
5;35;95;65;52.11691542288557;1057.636815920398
5;35;95;75;54.288557213930346;533.2388059701492
5;35;95;85;54.06218905472637;693.7960199004975
5;35;95;95;53.350746268656714;466.86567164179104
5;45;5;5;51.9452736318408;449.3532338308458
5;45;5;15;52.004975124378106;413.5049751243781
5;45;5;25;53.21890547263681;1028.4825870646766
5;45;5;35;55.365671641791046;950.6741293532339
5;45;5;45;54.898009950248756;448.6517412935323
5;45;5;55;52.57213930348259;922.0
5;45;5;65;53.614427860696516;445.0721393034826
5;45;5;75;50.504975124378106;388.44278606965173
5;45;5;85;49.05721393034826;601.6169154228855
5;45;5;95;53.776119402985074;541.3109452736319
5;45;15;5;53.51990049751244;621.6169154228855
5;45;15;15;52.9452736318408;2389.0696517412935
5;45;15;25;53.23134328358209;940.7412935323383
5;45;15;35;55.024875621890544;493.4452736318408
5;45;15;45;52.52985074626866;465.80348258706465
5;45;15;55;53.62935323383085;1428.4004975124378
5;45;15;65;52.460199004975124;953.8955223880597
5;45;15;75;57.42786069651741;1011.6293532338309
5;45;15;85;53.17164179104478;728.5248756218906
5;45;15;95;52.77860696517413;796.7487562189054
5;45;25;5;50.52985074626866;365.21890547263683
5;45;25;15;53.06218905472637;1163.9129353233832
5;45;25;25;52.80099502487562;755.6343283582089
5;45;25;35;52.29601990049751;713.2462686567164
5;45;25;45;52.124378109452735;492.6268656716418
5;45;25;55;54.492537313432834;1166.9129353233832
5;45;25;65;55.16417910447761;1138.2014925373135
5;45;25;75;55.24129353233831;1056.0223880597016
5;45;25;85;52.681592039801;1034.6542288557214
5;45;25;95;52.02985074626866;871.1343283582089
5;45;35;5;58.88059701492537;1443.810945273632
5;45;35;15;51.95771144278607;1201.544776119403
5;45;35;25;50.798507462686565;1081.6616915422885
5;45;35;35;53.05223880597015;430.1865671641791
5;45;35;45;53.666666666666664;911.3880597014926
5;45;35;55;51.472636815920396;539.2089552238806
5;45;35;65;54.39054726368159;928.497512437811
5;45;35;75;52.89054726368159;648.179104477612
5;45;35;85;52.22885572139303;556.1990049751244
5;45;35;95;52.830845771144276;632.4154228855722
5;45;45;5;52.114427860696516;457.0970149253731
5;45;45;15;52.592039800995025;698.542288557214
5;45;45;25;54.71393034825871;535.5597014925373
5;45;45;35;54.049751243781095;425.34328358208955
5;45;45;45;53.89303482587065;1543.8781094527362
5;45;45;55;54.12935323383085;1037.7164179104477
5;45;45;65;50.29601990049751;535.6517412935324
5;45;45;75;54.72636815920398;557.4004975124378
5;45;45;85;54.059701492537314;432.42537313432837
5;45;45;95;53.27114427860697;1253.8407960199006
5;45;55;5;54.10696517412935;382.87064676616916
5;45;55;15;53.93781094527363;1574.1716417910447
5;45;55;25;52.992537313432834;967.5373134328358
5;45;55;35;53.995024875621894;377.96268656716416
5;45;55;45;54.81592039800995;798.5248756218906
5;45;55;55;50.29601990049751;467.99004975124376
5;45;55;65;50.25373134328358;849.2288557213931
5;45;55;75;52.95522388059702;511.26119402985074
5;45;55;85;55.04477611940298;1381.778606965174
5;45;55;95;52.17164179104478;727.7164179104477
5;45;65;5;52.1044776119403;458.9577114427861
5;45;65;15;52.1044776119403;529.0746268656717
5;45;65;25;53.18905472636816;1267.9328358208954
5;45;65;35;53.8681592039801;896.9502487562189
5;45;65;45;52.504975124378106;879.6965174129353
5;45;65;55;53.68905472636816;1321.5298507462687
5;45;65;65;55.86069651741293;984.9029850746268
5;45;65;75;52.5547263681592;1224.0621890547263
5;45;65;85;52.992537313432834;661.2388059701492
5;45;65;95;55.35820895522388;539.6069651741293
5;45;75;5;54.43532338308458;566.7089552238806
5;45;75;15;52.06716417910448;970.9751243781094
5;45;75;25;52.833333333333336;650.7412935323383
5;45;75;35;54.972636815920396;561.6890547263681
5;45;75;45;53.32587064676617;1125.8557213930349
5;45;75;55;55.23880597014925;567.9651741293533
5;45;75;65;59.44776119402985;1105.592039800995
5;45;75;75;53.350746268656714;638.3731343283582
5;45;75;85;53.48009950248756;921.9253731343283
5;45;75;95;55.21393034825871;945.3557213930349
5;45;85;5;53.430348258706466;687.2537313432836
5;45;85;15;54.82587064676617;1407.9378109452737
5;45;85;25;53.63681592039801;530.7338308457712
5;45;85;35;52.86318407960199;431.9303482587065
5;45;85;45;52.124378109452735;700.9427860696518
5;45;85;55;56.24875621890547;1073.2910447761194
5;45;85;65;47.28109452736319;638.0174129353234
5;45;85;75;52.8955223880597;886.2189054726368
5;45;85;85;52.44776119402985;497.7213930348259
5;45;85;95;53.733830845771145;1672.1442786069651
5;45;95;5;53.007462686567166;1320.0
5;45;95;15;52.72885572139303;401.99004975124376
5;45;95;25;52.62189054726368;1556.2835820895523
5;45;95;35;52.833333333333336;338.2487562189055
5;45;95;45;52.54477611940298;549.5323383084577
5;45;95;55;53.5;518.0273631840796
5;45;95;65;54.88308457711443;1467.4378109452737
5;45;95;75;51.53233830845771;637.544776119403
5;45;95;85;52.60696517412935;848.6218905472637
5;45;95;95;58.18905472636816;1072.902985074627
5;55;5;5;51.8955223880597;688.3830845771145
5;55;5;15;52.266169154228855;507.1243781094527
5;55;5;25;51.8955223880597;703.0
5;55;5;35;54.61940298507463;482.2089552238806
5;55;5;45;53.96766169154229;827.2313432835821
5;55;5;55;50.950248756218905;602.5298507462686
5;55;5;65;56.51990049751244;900.1119402985074
5;55;5;75;55.30348258706468;439.80099502487565
5;55;5;85;53.211442786069654;1674.4975124378109
5;55;5;95;54.46268656716418;691.0348258706467
5;55;15;5;51.27363184079602;1029.9253731343283
5;55;15;15;55.01990049751244;892.3656716417911
5;55;15;25;59.0771144278607;708.5049751243781
5;55;15;35;53.54228855721393;674.0398009950248
5;55;15;45;53.77114427860697;359.03731343283584
5;55;15;55;54.330845771144276;513.0398009950248
5;55;15;65;54.81592039800995;911.5248756218906
5;55;15;75;55.08706467661692;482.5149253731343
5;55;15;85;55.32587064676617;683.4776119402985
5;55;15;95;54.1318407960199;760.776119402985
5;55;25;5;54.318407960199;455.6169154228856
5;55;25;15;54.75373134328358;502.8830845771144
5;55;25;25;59.03233830845771;917.6641791044776
5;55;25;35;56.64179104477612;3006.621890547264
5;55;25;45;52.97014925373134;860.455223880597
5;55;25;55;53.517412935323385;824.1666666666666
5;55;25;65;54.992537313432834;525.2860696517413
5;55;25;75;58.3134328358209;978.9253731343283
5;55;25;85;53.95771144278607;607.179104477612
5;55;25;95;57.77114427860697;1307.6641791044776
5;55;35;5;51.495024875621894;499.6094527363184
5;55;35;15;49.06467661691542;727.9328358208955
